# surface_pressure: 95484.3125
# surface_elevation: 495.3943545513991
# units: Pa, Pa, m, K, kg/kg, ppm, ppb
# comment: all profile quantities are at mid-layer, pressure-thickness reveals the thickness of each layer
pressure,pressure_thickness,altitude,temperature,specific_humidity,co2,ch4
7255.785,1190.8909,18576.975,211.77419,2.737852e-06,414.57258552933735,1758.5607496885334
8543.9,1385.3407,17565.188,211.04547,2.8138531e-06,415.66385022209334,1808.1026809217747
10051.435,1629.7303,16558.918,212.06693,3.0703845e-06,416.5203577140346,1833.8848550826397
11825.005,1917.4025,15546.14,213.77536,3.5827072e-06,417.08456045792747,1845.0408485091273
13911.502,2255.6006,14526.952,214.76416,6.0500993e-06,417.86651061071706,1863.434159209056
16366.152,2653.702,13506.602,214.26039,1.3124205e-05,418.8511581160128,1894.893839314673
19238.346,3090.6794,12488.789,215.68748,2.652306e-05,419.602055180197,1929.326171439719
22572.172,3576.9717,11465.042,221.79935,6.1358216e-05,419.85542059410363,1946.55809400912
26440.2,4159.082,10420.051,229.498,0.00013825845,419.8794753756374,1952.8039133678226
30877.635,4715.8013,9357.995,237.77167,0.00027889476,419.8807670036331,1955.6742970634589
35014.035,3556.979,8461.384,244.57915,0.00044742707,419.90612489947426,1956.1417948240344
38567.598,3550.1711,7760.56,249.73701,0.0006177901,419.97002018615603,1955.5262040482733
42112.664,3539.9087,7110.3735,254.48119,0.00083330664,420.03107944037765,1955.2939714338308
45649.68,3534.1492,6503.6157,258.62506,0.0011125548,420.0698951414476,1955.4382403042353
49180.86,3528.1965,5934.4917,262.3179,0.0014752792,420.07940584638465,1955.49000802482
52707.84,3525.7798,5398.1562,265.778,0.0018869967,420.07046095871675,1955.5078270912697
56230.598,3519.722,4890.6855,269.05865,0.0023732616,420.04359086665016,1955.8661023071315
59750.312,3519.7058,4408.8047,272.03564,0.002852434,419.97754271142185,1956.9649738242451
63268.08,3515.7896,3949.8826,274.73352,0.0034512365,419.83853214575595,1958.794626906786
66197.305,2342.6855,3582.1873,276.8658,0.004054017,419.6259637052814,1960.7469775405432
68539.9,2342.5186,3298.7307,278.49313,0.0047186185,419.2977289979657,1963.1776204471764
70882.35,2342.3542,3023.1926,279.94186,0.0054719346,418.7665115265797,1967.6119797048461
73223.664,2340.3,2755.1943,281.46634,0.006225454,418.3489686110988,1971.8693921580666
75564.0,2340.371,2494.2249,282.97952,0.0069700107,418.03060444847995,1976.1764258905812
77670.336,1872.271,2264.627,284.39554,0.007543247,417.8163183387369,1980.0869516911198
79308.336,1403.7441,2089.5176,285.54678,0.007910736,417.63441648799926,1983.689460652092
80711.945,1403.5192,1941.912,286.56296,0.008180198,417.4954335515698,1986.8365477982984
82115.35,1403.2899,1796.3251,287.62158,0.008409183,417.3968705581501,1989.3282807133558
83518.67,1403.2859,1652.6567,288.73505,0.008598845,417.3128178420787,1991.159572676792
84921.94,1403.2966,1510.81,289.89804,0.008751911,417.23130216511584,1992.4768783417717
86325.14,1403.0223,1370.7227,291.09906,0.00887569,417.1420843728507,1993.4974060154927
87728.01,1402.7527,1232.3285,292.3328,0.008978627,417.0478543577095,1994.3342889973867
89130.72,1402.7377,1095.5577,293.59772,0.009068569,416.9360255279268,1995.1201997435496
90533.42,1402.6954,960.3287,294.8947,0.009150112,416.8122191913426,1995.7353477687088
91936.03,1402.4321,826.5902,296.2267,0.009225297,416.64558144596714,1996.2332855306843
93338.46,1402.4359,694.2831,297.60284,0.009302163,416.4084517785038,1996.7501041785408
94755.586,1431.8365,561.9325,299.15628,0.009424348,413.6421636212617,1999.3910156012896
